timestamp;actions
1;keySensitiveBolt@1.0:
258;keySensitiveBolt@1.0:
516;keySensitiveBolt@1.0:
134;keySensitiveBolt@1.0:
392;keySensitiveBolt@1.0:
11;keySensitiveBolt@1.0:
268;keySensitiveBolt@1.0:
145;keySensitiveBolt@1.0:
402;keySensitiveBolt@1.0:
21;keySensitiveBolt@1.0:
278;keySensitiveBolt@1.0:
155;keySensitiveBolt@1.0:
412;keySensitiveBolt@1.0:
32;keySensitiveBolt@1.0:
289;keySensitiveBolt@1.0:
165;keySensitiveBolt@1.0:
423;keySensitiveBolt@1.0:
42;keySensitiveBolt@1.0:
299;keySensitiveBolt@1.0:
176;keySensitiveBolt@1.0:
433;keySensitiveBolt@1.0:
52;keySensitiveBolt@1.0:
309;keySensitiveBolt@1.0:
186;keySensitiveBolt@1.0:
443;keySensitiveBolt@1.0:
62;keySensitiveBolt@1.0:
320;keySensitiveBolt@1.0:
196;keySensitiveBolt@1.0:
454;keySensitiveBolt@1.0:
73;keySensitiveBolt@1.0:
330;keySensitiveBolt@1.0:
206;keySensitiveBolt@1.0:
464;keySensitiveBolt@1.0:
83;keySensitiveBolt@1.0:
340;keySensitiveBolt@1.0:
217;keySensitiveBolt@1.0:
474;keySensitiveBolt@1.0:
93;keySensitiveBolt@1.0:
351;keySensitiveBolt@1.0:
227;keySensitiveBolt@1.0:
485;keySensitiveBolt@1.0:
103;keySensitiveBolt@1.0:
361;keySensitiveBolt@1.0:
237;keySensitiveBolt@1.0:
495;keySensitiveBolt@1.0:
114;keySensitiveBolt@1.0:
371;keySensitiveBolt@1.0:
248;keySensitiveBolt@1.0:
505;keySensitiveBolt@1.0:
124;keySensitiveBolt@1.0:
381;keySensitiveBolt@1.0:
